date,time,open,high,low,close,volume
20240830,1515,22504,22513,22475,22483,2800
20240830,1530,22484,22526,22480,22523,1628
20240830,1545,22523,22568,22522,22564,3046
20240830,1600,22563,22580,22551,22572,2188
20240830,1615,22568,22576,22543,22556,2036
20240830,1630,22555,22566,22545,22560,966
20240830,1645,22561,22574,22557,22565,980
20240830,1700,22566,22571,22540,22548,1348
20240830,1715,22547,22555,22532,22551,1452
20240830,1730,22551,22552,22522,22529,1500
20240830,1745,22528,22529,22511,22526,1036
20240830,1800,22527,22537,22527,22535,750
20240830,1815,22533,22533,22498,22501,1486
20240830,1830,22500,22507,22490,22501,1568
20240830,1845,22502,22505,22464,22492,2354
20240830,1900,22491,22526,22490,22521,1830
20240830,1915,22519,22526,22504,22507,1118
20240830,1930,22507,22519,22502,22504,626
20240830,1945,22504,22517,22485,22487,986
20240830,2000,22489,22514,22481,22511,780
20240830,2015,22510,22538,22501,22536,1862
20240830,2030,22535,22552,22528,22552,1436
20240830,2045,22552,22568,22500,22511,3442
20240830,2100,22510,22512,22484,22489,2580
20240830,2115,22489,22500,22471,22478,2404
20240830,2130,22478,22501,22477,22499,1180
20240830,2145,22498,22505,22446,22482,7816
20240830,2200,22488,22519,22450,22514,6798
20240830,2215,22511,22531,22479,22483,4508
20240830,2230,22483,22496,22451,22465,3188
20240830,2245,22465,22496,22428,22436,4298
20240830,2300,22439,22474,22402,22402,6672
20240830,2315,22403,22418,22378,22394,6976
20240830,2330,22395,22398,22348,22374,5778
20240830,2345,22372,22375,22324,22358,4508
20240831,0,22357,22377,22341,22370,2678
20240831,15,22367,22372,22310,22359,3922
20240831,30,22361,22367,22302,22310,3376
20240831,45,22309,22314,22281,22308,4134
20240831,100,22306,22364,22299,22350,3626
20240831,115,22349,22371,22332,22354,2036
20240831,130,22354,22354,22326,22343,1268
20240831,145,22345,22366,22342,22358,1044
20240831,200,22356,22370,22340,22349,964
20240831,215,22350,22384,22340,22378,1374
20240831,230,22379,22391,22368,22372,1238
20240831,245,22372,22411,22369,22402,1264
20240831,300,22402,22443,22402,22433,2812
20240831,315,22431,22440,22391,22396,1610
20240831,330,22397,22450,22395,22446,1384
20240831,345,22446,22448,22414,22426,1046
20240831,400,22428,22472,22415,22446,3446
20240831,415,22444,22483,22443,22474,1964
20240831,430,22474,22493,22473,22485,928
20240831,445,22485,22492,22482,22488,664
20240831,500,22489,22491,22477,22486,830
20240902,850,22504,22535,22492,22492,5800
20240902,855,22493,22544,22491,22543,3250
20240902,900,22544,22618,22544,22587,6634
20240902,905,22587,22634,22582,22595,6590
20240902,910,22595,22601,22564,22570,4278
20240902,915,22571,22571,22520,22530,5374
20240902,920,22533,22557,22527,22552,3234
20240902,925,22552,22574,22548,22559,2748
20240902,930,22558,22586,22546,22548,2302
20240902,935,22550,22590,22537,22537,3144
20240902,940,22538,22554,22514,22516,3810
20240902,945,22517,22530,22489,22495,3416
20240902,950,22494,22516,22494,22516,2262
20240902,955,22516,22526,22462,22473,4828
20240902,1000,22474,22501,22466,22501,3364
20240902,1005,22498,22498,22381,22411,12232
20240902,1010,22413,22449,22383,22446,4510
20240902,1015,22447,22451,22406,22414,2838
20240902,1020,22414,22431,22377,22406,4042
20240902,1025,22404,22426,22397,22417,1468
20240902,1030,22417,22446,22412,22422,1816
20240902,1035,22421,22447,22405,22412,1674
20240902,1040,22412,22430,22401,22420,1918
20240902,1045,22421,22447,22408,22440,1500
20240902,1050,22440,22465,22418,22422,2550
20240902,1055,22423,22444,22418,22439,914
20240902,1100,22437,22452,22416,22424,1088
20240902,1105,22423,22446,22413,22445,1142
20240902,1110,22446,22452,22431,22434,1020
20240902,1115,22433,22452,22427,22447,906
20240902,1120,22451,22460,22446,22452,1060
20240902,1125,22453,22457,22432,22434,898
20240902,1130,22435,22436,22401,22401,1774
20240902,1135,22403,22417,22392,22397,1636
20240902,1140,22396,22412,22368,22381,2928
20240902,1145,22383,22400,22373,22393,1714
20240902,1150,22393,22416,22385,22414,1626
20240902,1155,22415,22423,22405,22417,996
20240902,1200,22416,22424,22407,22414,562
20240902,1205,22412,22423,22403,22418,874
20240902,1210,22417,22428,22397,22398,926
20240902,1215,22401,22406,22371,22384,1814
20240902,1220,22383,22405,22362,22400,2026
20240902,1225,22400,22408,22389,22394,946
20240902,1230,22394,22404,22391,22404,500
20240902,1235,22404,22414,22394,22395,1034
20240902,1240,22395,22399,22385,22390,766
20240902,1245,22390,22400,22378,22382,1030
20240902,1250,22381,22386,22367,22382,1396
20240902,1255,22381,22395,22378,22387,642
20240902,1300,22388,22400,22376,22398,864
20240902,1305,22396,22400,22388,22395,890
20240902,1310,22395,22395,22376,22376,836
20240902,1315,22376,22396,22371,22375,1742
20240902,1320,22375,22378,22358,22376,1994
20240902,1325,22375,22393,22371,22390,1470
20240902,1330,22390,22412,22389,22406,2314
20240902,1335,22406,22410,22398,22405,1862
20240902,1340,22404,22421,22404,22420,1768
20240902,1345,22421,22429,22388,22413,5514
20240902,1515,22401,22405,22287,22325,5724
20240902,1530,22325,22325,22287,22289,3246
20240902,1545,22288,22296,22248,22284,4270
20240902,1600,22286,22317,22282,22313,2170
20240902,1615,22312,22337,22307,22334,2216
20240902,1630,22333,22355,22325,22338,1816
20240902,1645,22340,22368,22336,22358,2312
20240902,1700,22358,22369,22338,22342,1388
20240902,1715,22340,22351,22324,22351,1696
20240902,1730,22351,22386,22351,22372,2120
20240902,1745,22373,22381,22360,22371,1112
20240902,1800,22372,22390,22354,22363,1484
20240902,1815,22364,22368,22349,22351,666
20240902,1830,22350,22360,22344,22357,592
20240902,1845,22358,22375,22358,22374,606
20240902,1900,22374,22376,22358,22358,516
20240902,1915,22361,22365,22347,22358,576
20240902,1930,22358,22365,22350,22358,366
20240902,1945,22355,22364,22350,22360,512
20240902,2000,22360,22371,22360,22366,580
20240902,2015,22365,22401,22364,22385,1788
20240902,2030,22386,22388,22369,22384,692
20240902,2045,22385,22389,22374,22386,588
20240902,2100,22386,22398,22385,22387,864
20240902,2115,22388,22420,22387,22392,1994
20240902,2130,22393,22406,22374,22376,1188
20240902,2145,22378,22404,22369,22404,1518
20240902,2200,22403,22408,22380,22380,950
20240902,2215,22382,22389,22367,22369,952
20240902,2230,22369,22371,22352,22371,1508
20240902,2245,22371,22396,22370,22392,1234
20240902,2300,22391,22401,22388,22389,844
20240902,2315,22389,22413,22389,22403,1372
20240902,2330,22404,22414,22386,22390,1022
20240902,2345,22391,22408,22390,22407,574
20240903,0,22406,22412,22402,22405,488
20240903,15,22406,22453,22406,22440,4282
20240903,30,22440,22451,22435,22437,834
20240903,45,22438,22450,22433,22444,532
20240903,100,22444,22446,22414,22427,806
20240903,115,22430,22439,22430,22436,268
20240903,130,22436,22444,22432,22432,218
20240903,145,22435,22439,22434,22437,104
20240903,200,22438,22438,22419,22420,274
20240903,215,22422,22440,22416,22423,364
20240903,230,22426,22435,22416,22422,290
20240903,245,22422,22424,22407,22414,364
20240903,300,22418,22430,22406,22430,404
20240903,315,22430,22434,22419,22419,418
20240903,330,22419,22426,22413,22423,558
20240903,345,22423,22425,22399,22407,612
20240903,400,22404,22421,22400,22421,498
20240903,415,22420,22426,22394,22404,702
20240903,430,22401,22405,22376,22388,770
20240903,445,22388,22409,22377,22400,324
20240903,500,22400,22411,22392,22406,876
20240903,850,22391,22403,22371,22375,3718
20240903,855,22375,22388,22363,22374,1956
20240903,900,22374,22408,22370,22408,1780
20240903,905,22408,22415,22387,22388,3232
20240903,910,22390,22404,22370,22392,2740
20240903,915,22390,22451,22390,22449,4300
20240903,920,22447,22449,22416,22416,2854
20240903,925,22415,22444,22412,22437,2358
20240903,930,22436,22469,22431,22458,4112
20240903,935,22459,22476,22443,22453,3250
20240903,940,22453,22470,22430,22433,2790
20240903,945,22431,22458,22424,22456,3128
20240903,950,22457,22485,22456,22485,3832
20240903,955,22484,22494,22475,22481,2604
20240903,1000,22481,22500,22473,22485,2530
20240903,1005,22483,22490,22448,22449,3050
20240903,1010,22449,22469,22449,22468,2186
20240903,1015,22469,22479,22458,22468,1808
20240903,1020,22467,22472,22439,22442,2180
20240903,1025,22442,22443,22417,22431,2760
20240903,1030,22432,22432,22406,22423,2376
20240903,1035,22423,22428,22399,22410,1956
20240903,1040,22411,22411,22377,22379,3500
20240903,1045,22381,22382,22331,22359,8016
20240903,1050,22357,22357,22319,22342,4924
20240903,1055,22341,22355,22320,22350,2734
20240903,1100,22348,22349,22314,22330,2666
20240903,1105,22328,22330,22299,22304,3936
20240903,1110,22303,22317,22282,22303,3994
