Date,Time,Open,High,Low,Close,Volume
20241129.0,1515.0,22424.6,22426.5,22343.2,22347.1,5256.0
20241129.0,1530.0,22347.1,22367.2,22330.1,22334.1,3410.0
20241129.0,1545.0,22332.1,22345.1,22286.8,22330.0,5406.0
20241129.0,1600.0,22332.1,22342.1,22296.9,22311.9,1564.0
20241129.0,1615.0,22315.0,22356.1,22296.9,22339.1,2528.0
20241129.0,1630.0,22337.1,22358.2,22323.1,22352.2,1026.0
20241129.0,1645.0,22352.2,22359.2,22330.1,22330.0,1388.0
20241129.0,1700.0,22330.0,22355.1,22317.0,22344.1,1268.0
20241129.0,1715.0,22340.1,22381.3,22336.1,22363.2,1644.0
20241129.0,1730.0,22364.2,22376.3,22359.3,22366.2,698.0
20241129.0,1745.0,22366.2,22389.3,22361.3,22372.3,1206.0
20241129.0,1800.0,22369.3,22381.3,22359.3,22362.2,678.0
20241129.0,1815.0,22361.2,22364.2,22341.2,22358.2,880.0
20241129.0,1830.0,22355.2,22360.2,22345.2,22358.2,506.0
20241129.0,1845.0,22358.2,22383.3,22357.2,22374.3,872.0
20241129.0,1900.0,22374.3,22398.4,22368.3,22395.4,1026.0
20241129.0,1915.0,22394.4,22409.4,22380.4,22395.4,1408.0
20241129.0,1930.0,22393.4,22401.4,22376.4,22397.4,1144.0
20241129.0,1945.0,22397.4,22430.6,22397.5,22414.5,1788.0
20241129.0,2000.0,22414.5,22428.6,22414.6,22416.5,468.0
20241129.0,2015.0,22415.5,22434.6,22411.6,22428.6,1080.0
20241129.0,2030.0,22429.6,22429.6,22417.6,22425.6,516.0
20241129.0,2045.0,22425.6,22429.6,22377.4,22379.3,1396.0
20241129.0,2100.0,22381.3,22410.5,22380.4,22407.5,934.0
20241129.0,2115.0,22404.5,22415.5,22395.5,22403.5,760.0
20241129.0,2130.0,22400.4,22400.4,22347.2,22347.1,2210.0
20241129.0,2145.0,22347.1,22357.1,22308.0,22308.9,2554.0
20241129.0,2200.0,22310.9,22359.2,22303.9,22354.2,2690.0
20241129.0,2215.0,22357.2,22372.2,22350.2,22361.2,1328.0
20241129.0,2230.0,22361.2,22367.2,22332.1,22338.1,1364.0
20241129.0,2245.0,22342.1,22427.5,22325.1,22414.5,7624.0
20241129.0,2300.0,22415.5,22505.0,22400.5,22501.0,6046.0
20241129.0,2315.0,22500.0,22595.5,22485.0,22592.5,9752.0
20241129.0,2330.0,22593.5,22600.5,22563.4,22567.4,5722.0
20241129.0,2345.0,22566.4,22624.7,22565.4,22607.6,4800.0
20241130.0,0.0,22608.6,22640.8,22590.6,22640.8,3854.0
20241130.0,15.0,22639.8,22696.1,22639.9,22696.1,6000.0
20241130.0,30.0,22695.1,22701.1,22671.0,22689.1,2752.0
20241130.0,45.0,22688.1,22689.0,22664.0,22677.0,2050.0
20241130.0,100.0,22676.0,22708.1,22673.0,22690.1,2742.0
20241130.0,115.0,22689.1,22703.1,22677.1,22685.1,1670.0
20241130.0,130.0,22688.1,22703.1,22670.0,22673.0,1230.0
20241130.0,145.0,22675.0,22689.0,22671.0,22680.0,984.0
20241130.0,200.0,22680.0,22683.0,22647.9,22663.9,1906.0
20241130.0,215.0,22663.9,22678.0,22663.0,22666.0,654.0
20241130.0,230.0,22669.0,22683.0,22668.0,22672.0,424.0
20241130.0,245.0,22670.0,22677.0,22667.0,22672.0,160.0
20241130.0,300.0,22674.0,22681.0,22667.0,22672.0,260.0
20241130.0,315.0,22671.0,22679.0,22668.0,22674.0,262.0
20241130.0,330.0,22671.0,22674.0,22665.0,22664.9,204.0
20241130.0,345.0,22664.9,22669.9,22658.0,22670.0,376.0
20241130.0,400.0,22669.0,22677.0,22660.0,22663.9,274.0
