date,time,open,high,low,close,volume
20240620,1515,23569,23580,23543,23555,5144
20240620,1530,23556,23615,23553,23595,5066
20240620,1545,23595,23610,23581,23601,2762
20240620,1600,23601,23609,23590,23598,1618
20240620,1615,23597,23602,23583,23592,1320
20240620,1630,23593,23594,23570,23571,1322
20240620,1645,23570,23581,23561,23578,1532
20240620,1700,23577,23594,23576,23593,932
20240620,1715,23592,23599,23585,23586,1040
20240620,1730,23586,23600,23582,23597,888
20240620,1745,23598,23601,23585,23587,944
20240620,1800,23588,23595,23586,23591,458
20240620,1815,23591,23593,23578,23585,706
20240620,1830,23587,23598,23587,23587,552
20240620,1845,23588,23594,23584,23594,472
20240620,1900,23593,23599,23588,23588,1016
20240620,1915,23588,23594,23586,23591,440
20240620,1930,23590,23591,23575,23581,1034
20240620,1945,23580,23582,23551,23563,3406
20240620,2000,23565,23566,23516,23534,5082
20240620,2015,23534,23553,23525,23525,2520
20240620,2030,23525,23544,23522,23543,1578
20240620,2045,23544,23552,23498,23518,5512
20240620,2100,23521,23537,23505,23515,2734
20240620,2115,23515,23524,23483,23492,3378
20240620,2130,23493,23501,23465,23497,3774
20240620,2145,23496,23511,23456,23510,9786
20240620,2200,23509,23530,23491,23500,6254
20240620,2215,23502,23507,23400,23403,11472
20240620,2230,23402,23409,23329,23384,16136
20240620,2245,23384,23421,23375,23401,7306
20240620,2300,23402,23404,23366,23397,5656
20240620,2315,23398,23403,23377,23391,3246
20240620,2330,23393,23393,23344,23363,5002
20240620,2345,23363,23395,23358,23386,2760
20240621,0,23386,23388,23332,23332,4176
20240621,15,23333,23333,23280,23290,10992
20240621,30,23293,23313,23253,23254,6620
20240621,45,23253,23279,23226,23270,7432
20240621,100,23271,23290,23262,23274,3066
20240621,115,23276,23276,23206,23257,5842
20240621,130,23257,23275,23224,23227,2866
20240621,145,23228,23250,23189,23236,4516
20240621,200,23236,23263,23224,23263,2708
20240621,215,23262,23311,23259,23284,4002
20240621,230,23285,23313,23283,23308,1838
20240621,245,23308,23314,23278,23293,1274
20240621,300,23294,23300,23272,23277,776
20240621,315,23276,23282,23240,23279,1478
20240621,330,23276,23277,23235,23273,1254
20240621,345,23276,23302,23269,23301,1006
20240621,400,23300,23310,23278,23287,1138
20240621,415,23289,23295,23283,23283,524
20240621,430,23281,23289,23272,23277,514
20240621,445,23277,23284,23275,23280,466
20240621,500,23281,23282,23268,23273,848
20240621,850,23249,23307,23240,23279,8366
20240621,855,23277,23325,23277,23313,3614
20240621,900,23314,23320,23298,23307,3280
20240621,905,23309,23370,23309,23368,9920
20240621,910,23369,23376,23300,23334,9648
20240621,915,23334,23343,23300,23308,4756
20240621,920,23308,23344,23305,23312,3990
20240621,925,23312,23357,23312,23347,3686
20240621,930,23348,23364,23343,23346,2848
20240621,935,23346,23360,23307,23320,3478
20240621,940,23317,23350,23313,23327,2824
20240621,945,23328,23356,23322,23354,2216
20240621,950,23353,23369,23344,23362,2778
20240621,955,23361,23397,23347,23388,5480
20240621,1000,23389,23414,23380,23412,4014
20240621,1005,23414,23427,23393,23426,6020
20240621,1010,23425,23479,23423,23450,8098
20240621,1015,23451,23471,23439,23447,3808
20240621,1020,23448,23486,23441,23445,5412
20240621,1025,23446,23449,23398,23410,5194
20240621,1030,23409,23436,23406,23413,2906
20240621,1035,23413,23435,23386,23432,3562
20240621,1040,23434,23450,23426,23444,2656
20240621,1045,23443,23460,23435,23448,1880
20240621,1050,23448,23481,23444,23477,4112
20240621,1055,23476,23504,23455,23485,5260
20240621,1100,23485,23506,23463,23469,3676
20240621,1105,23468,23480,23455,23459,2366
20240621,1110,23459,23470,23442,23466,2136
20240621,1115,23465,23466,23433,23444,2098
20240621,1120,23444,23482,23443,23459,3174
20240621,1125,23459,23461,23442,23450,1376
20240621,1130,23450,23456,23440,23446,1130
20240621,1135,23447,23457,23427,23433,2496
20240621,1140,23431,23445,23424,23439,1484
20240621,1145,23439,23455,23433,23449,1396
20240621,1150,23447,23451,23417,23419,2182
20240621,1155,23419,23436,23413,23420,1528
20240621,1200,23420,23427,23399,23403,1656
20240621,1205,23402,23410,23377,23404,3542
20240621,1210,23404,23427,23403,23408,1916
20240621,1215,23409,23419,23404,23410,1078
20240621,1220,23410,23412,23395,23395,1206
20240621,1225,23395,23403,23380,23402,2176
20240621,1230,23403,23408,23386,23388,1138
20240621,1235,23387,23391,23380,23384,1066
20240621,1240,23384,23412,23383,23409,1274
20240621,1245,23410,23413,23395,23409,1088
20240621,1250,23408,23413,23402,23408,1100
20240621,1255,23407,23407,23395,23399,698
20240621,1300,23399,23449,23397,23435,3192
20240621,1305,23435,23435,23411,23417,2294
20240621,1310,23418,23446,23414,23444,2288
20240621,1315,23444,23446,23425,23440,1642
20240621,1320,23440,23450,23435,23446,2216
20240621,1325,23448,23459,23444,23457,2456
20240621,1330,23456,23460,23411,23419,8690
20240621,1335,23419,23434,23415,23431,3158
20240621,1340,23431,23454,23429,23453,2556
20240621,1345,23453,23453,23417,23425,5126
20240621,1515,23413,23426,22915,23305,20354
20240621,1530,23308,23310,23146,23227,15522
20240621,1545,23227,23271,23188,23253,9754
20240621,1600,23253,23273,23229,23250,4676
20240621,1615,23249,23261,23215,23222,4882
20240621,1630,23221,23226,23139,23153,7472
20240621,1645,23152,23177,23111,23146,6184
20240621,1700,23144,23160,23131,23153,2594
20240621,1715,23152,23173,23140,23152,3002
20240621,1730,23151,23195,23118,23142,5782
20240621,1745,23140,23161,23130,23154,1898
20240621,1800,23154,23162,23134,23149,1560
20240621,1815,23153,23161,23149,23156,718
20240621,1830,23157,23175,23134,23135,1614
20240621,1845,23135,23155,23121,23155,1606
20240621,1900,23154,23161,23145,23155,824
20240621,1915,23158,23182,23155,23161,1800
20240621,1930,23161,23211,23161,23210,2536
20240621,1945,23209,23210,23181,23189,1476
20240621,2000,23187,23194,23169,23182,1412
20240621,2015,23184,23204,23173,23183,1330
20240621,2030,23178,23187,23158,23167,1452
20240621,2045,23168,23193,23166,23185,1254
20240621,2100,23187,23192,23178,23188,716
20240621,2115,23189,23197,23177,23191,1084
20240621,2130,23192,23200,23162,23165,2170
20240621,2145,23166,23265,23162,23197,11388
20240621,2200,23195,23195,23138,23168,8042
20240621,2215,23166,23204,23164,23201,4996
20240621,2230,23202,23227,23167,23184,6060
20240621,2245,23184,23194,23162,23187,2674
20240621,2300,23187,23247,23185,23245,4838
20240621,2315,23242,23293,23241,23259,8508
20240621,2330,23261,23291,23238,23247,4050
20240621,2345,23248,23266,23226,23265,3534
20240622,0,23264,23338,23254,23338,6140
20240622,15,23338,23350,23285,23289,5524
20240622,30,23288,23319,23287,23318,2370
20240622,45,23318,23322,23289,23291,1748
20240622,100,23291,23298,23269,23275,2128
20240622,115,23274,23296,23268,23279,912
20240622,130,23279,23284,23243,23252,1638
20240622,145,23252,23256,23218,23234,2140
20240622,200,23234,23259,23232,23232,1016
20240622,215,23232,23247,23220,23240,1234
20240622,230,23240,23253,23225,23252,738
20240622,245,23247,23256,23233,23240,714
20240622,300,23243,23251,23240,23246,338
20240622,315,23248,23277,23248,23266,890
20240622,330,23265,23273,23252,23253,716
20240622,345,23253,23254,23235,23238,700
20240622,400,23237,23239,23193,23198,2154
20240622,415,23198,23230,23174,23227,1128
20240622,430,23229,23238,23223,23230,398
20240622,445,23229,23246,23226,23243,590
20240622,500,23245,23250,23242,23245,748
20240624,850,23265,23288,23176,23218,11502
20240624,855,23220,23223,23189,23194,3044
20240624,900,23192,23198,23148,23179,6874
20240624,905,23180,23213,23152,23164,7916
20240624,910,23165,23166,23066,23105,15490
20240624,915,23104,23104,23055,23074,8346
20240624,920,23073,23074,23017,23049,11712
20240624,925,23047,23084,22996,23081,10998
20240624,930,23081,23100,23055,23091,6246
20240624,935,23088,23092,23019,23019,6328
20240624,940,23019,23050,22977,22983,9416
20240624,945,22983,23009,22978,22994,5380
20240624,950,22996,23051,22987,23024,6354
20240624,955,23025,23037,23008,23015,3400
20240624,1000,23015,23053,23009,23030,3754
20240624,1005,23028,23030,22966,22985,6976
20240624,1010,22985,23036,22974,23030,5246
20240624,1015,23030,23031,22976,22991,3316
20240624,1020,22993,23008,22965,22965,3454
20240624,1025,22965,22991,22960,22975,3352
20240624,1030,22976,22996,22946,22951,4384
20240624,1035,22949,22999,22948,22997,3722
20240624,1040,22997,23020,22991,23008,3700
20240624,1045,23007,23013,22985,23002,2112
20240624,1050,23004,23006,22983,22991,2150
20240624,1055,22990,23003,22970,22989,2062
20240624,1100,22990,23023,22988,23021,2030
20240624,1105,23023,23080,23021,23076,8270
20240624,1110,23076,23080,23025,23035,4374
20240624,1115,23037,23042,23027,23032,2226
20240624,1120,23031,23041,23011,23018,2456
20240624,1125,23018,23032,23004,23009,2540
20240624,1130,23011,23022,23005,23010,1884
20240624,1135,23009,23027,22999,23018,2342
20240624,1140,23019,23027,23010,23019,1434
20240624,1145,23020,23026,22991,22995,2588
20240624,1150,22995,22997,22973,22986,2544
20240624,1155,22987,22989,22969,22979,1772
20240624,1200,22978,22981,22962,22970,2060
20240624,1205,22969,22970,22937,22963,4886
20240624,1210,22963,22975,22947,22952,2608
20240624,1215,22951,22957,22938,22942,2296
20240624,1220,22941,22967,22936,22947,2408
20240624,1225,22948,22953,22930,22940,2742
20240624,1230,22941,22965,22936,22948,2086
20240624,1235,22948,22969,22946,22964,1756
20240624,1240,22966,22969,22951,22954,1166
20240624,1245,22957,22970,22946,22947,1290
20240624,1250,22946,22950,22926,22930,1902
20240624,1255,22929,22955,22927,22951,1290
20240624,1300,22951,22955,22926,22940,1452
20240624,1305,22942,22949,22927,22931,1646
20240624,1310,22932,22949,22931,22941,1992
20240624,1315,22942,22961,22940,22946,2178
20240624,1320,22947,22960,22938,22958,1954
20240624,1325,22958,22970,22957,22963,2092
20240624,1330,22963,22968,22923,22943,7200
20240624,1335,22944,22973,22942,22960,4954
20240624,1340,22960,22971,22955,22956,2420
20240624,1345,22955,22981,22951,22961,6054
20240624,1515,22983,23030,22977,23000,6862
20240624,1530,23002,23007,22979,22986,2400
20240624,1545,22989,23014,22961,23006,3786
20240624,1600,23007,23027,22997,23021,2314
20240624,1615,23022,23043,23008,23033,3006
20240624,1630,23032,23040,23020,23036,1464
20240624,1645,23036,23037,23016,23026,1284
20240624,1700,23025,23032,23010,23013,860
20240624,1715,23015,23022,22997,22999,1416
20240624,1730,23000,23002,22989,22996,1380
20240624,1745,22997,22997,22972,22985,1828
20240624,1800,22987,22988,22953,22976,2660
20240624,1815,22977,22989,22970,22983,1296
20240624,1830,22983,23000,22976,22997,1048
20240624,1845,22997,23003,22985,22998,848
20240624,1900,22999,23010,22996,23007,1128
20240624,1915,23006,23020,23005,23012,1252
20240624,1930,23011,23012,22988,22995,1012
20240624,1945,22995,23004,22989,23000,542
20240624,2000,23001,23012,22989,22998,1030
20240624,2015,22998,23000,22975,22984,1224
20240624,2030,22983,23003,22977,23001,1132
20240624,2045,23002,23006,22982,22983,1112
20240624,2100,22984,22994,22977,22986,954
20240624,2115,22985,22993,22965,22965,1566
20240624,2130,22966,22986,22965,22983,1504
20240624,2145,22983,23017,22956,22961,7800
20240624,2200,22959,23028,22896,23022,15612
20240624,2215,23018,23065,23018,23053,12068
20240624,2230,23053,23057,23000,23005,6020
20240624,2245,23005,23058,23001,23008,7114
20240624,2300,23008,23017,22946,22983,8790
20240624,2315,22985,22989,22961,22980,3532
20240624,2330,22981,22996,22953,22972,3912
20240624,2345,22973,22981,22956,22968,2004
20240625,0,22969,22979,22961,22977,1208
20240625,15,22976,22984,22954,22955,1894
20240625,30,22957,22972,22948,22955,1440
20240625,45,22956,22962,22928,22938,2014
20240625,100,22938,22951,22905,22913,2258
20240625,115,22914,22929,22860,22862,8156
20240625,130,22862,22880,22834,22841,3740
20240625,145,22841,22856,22802,22843,4690
20240625,200,22841,22854,22823,22825,1786
20240625,215,22825,22829,22789,22796,2080
20240625,230,22795,22825,22787,22800,2092
20240625,245,22800,22837,22796,22829,1402
20240625,300,22830,22856,22829,22840,1368
20240625,315,22840,22883,22837,22878,2476
20240625,330,22876,22882,22865,22870,684
20240625,345,22872,22878,22861,22864,596
20240625,400,22867,22869,22806,22816,1410
20240625,415,22814,22829,22800,22825,922
20240625,430,22821,22827,22812,22812,398
20240625,445,22812,22821,22807,22807,466
20240625,500,22807,22816,22797,22805,1094
20240625,850,22823,22863,22815,22854,8194
20240625,855,22853,22877,22841,22869,4294
20240625,900,22867,22882,22829,22832,4476
20240625,905,22832,22868,22767,22767,12988
20240625,910,22767,22788,22728,22736,12806
20240625,915,22733,22744,22676,22682,11230
20240625,920,22683,22700,22634,22658,11628
20240625,925,22656,22691,22639,22641,7292
20240625,930,22641,22711,22625,22709,9146
20240625,935,22708,22749,22688,22745,7944
20240625,940,22745,22770,22722,22763,6642
20240625,945,22763,22784,22754,22767,4966
20240625,950,22767,22866,22761,22850,11634
20240625,955,22849,22888,22829,22886,6598
20240625,1000,22885,22897,22836,22844,8436
20240625,1005,22844,22859,22807,22815,5192
20240625,1010,22815,22833,22808,22830,2832
20240625,1015,22829,22851,22788,22800,5508
20240625,1020,22802,22853,22799,22841,3582
20240625,1025,22839,22883,22839,22874,4784
20240625,1030,22876,22913,22852,22910,6282
20240625,1035,22910,22917,22884,22886,4744
20240625,1040,22887,22913,22876,22905,2466
20240625,1045,22904,22947,22893,22936,6088
20240625,1050,22938,22952,22911,22919,4658
20240625,1055,22922,22929,22898,22898,3056
20240625,1100,22898,22905,22889,22899,2392
20240625,1105,22900,22924,22892,22897,1770
20240625,1110,22896,22909,22888,22898,1480
20240625,1115,22900,22920,22877,22878,2154
20240625,1120,22878,22894,22851,22859,3596
20240625,1125,22856,22891,22851,22879,2952
20240625,1130,22879,22883,22858,22865,1218
20240625,1135,22865,22876,22856,22866,1632
20240625,1140,22867,22914,22867,22908,2714
20240625,1145,22908,22915,22889,22897,1400
20240625,1150,22895,22901,22876,22877,1438
20240625,1155,22879,22884,22871,22872,882
20240625,1200,22871,22875,22856,22866,1974
20240625,1205,22865,22871,22855,22861,1212
20240625,1210,22861,22885,22855,22873,1872
20240625,1215,22873,22888,22867,22873,780
20240625,1220,22873,22877,22868,22868,778
20240625,1225,22867,22908,22865,22908,2038
20240625,1230,22908,22924,22899,22914,1822
20240625,1235,22913,22918,22897,22905,988
20240625,1240,22905,22921,22905,22908,1028
20240625,1245,22909,22915,22903,22914,1062
20240625,1250,22913,22931,22900,22926,1980
20240625,1255,22926,22935,22921,22929,1146
20240625,1300,22930,22943,22927,22943,1516
20240625,1305,22943,22969,22932,22950,4436
20240625,1310,22949,22963,22945,22961,1816
20240625,1315,22961,22991,22961,22983,4154
20240625,1320,22983,22985,22962,22966,2424
20240625,1325,22967,22967,22950,22953,2282
20240625,1330,22953,22970,22934,22969,7388
20240625,1335,22968,22980,22962,22971,4122
